YEAR,MONTH,DAY,TMAX,TMIN,TAVG
2015,1,1,33.03,23.99,28.59
2015,1,2,35.93,30.3,33.45
2015,1,3,40.61,34.12,37.21
2015,1,4,36.99,16.86,22.69
2015,1,5,42.05,15.22,28.44
2015,1,6,46.25,25.97,34.89
2015,1,7,30.01,12.07,22.52
2015,1,8,35.2,10.36,21.71
2015,1,9,33.42,19.1,26.44
2015,1,10,39.15,18.07,29.31
2015,1,11,36.44,31.18,34.02
2015,1,12,35.78,27.25,31.87
2015,1,13,36.84,19.21,27.55
2015,1,14,38.78,21.77,31.49
2015,1,15,57.33,28.14,40.84
2015,1,16,62.83,25.95,44.41
2015,1,17,65.23,35.81,48.25
2015,1,18,69.42,26.8,50.3
2015,1,19,72.3,32.85,50.31
2015,1,20,60.3,34.57,48.36
2015,1,21,49.86,30.64,41.06
2015,1,22,44.57,32.4,38.45
2015,1,23,49.33,29.58,37.83
2015,1,24,61.97,27.74,44.69
2015,1,25,58.03,33.18,48.76
2015,1,26,75.83,26.64,49.72
2015,1,27,76.8,37.01,57.22
2015,1,28,79.65,46.89,60.57
2015,1,29,60.6,39.43,49.17
2015,1,30,48.36,31.18,40.55
2015,1,31,44.4,39.99,42.21
2015,2,1,46.12,21.86,36.81
2015,2,2,37.74,15.3,26.44
2015,2,3,58.15,27.26,41.16
2015,2,4,46.35,25.45,35.94
2015,2,5,41.57,18.24,28.5
2015,2,6,59.56,26.84,42.32
2015,2,7,69.75,41.52,53.85
2015,2,8,76.75,34.81,55.83
2015,2,9,68.45,40.16,53.75
2015,2,10,68.97,37.84,52.24
2015,2,11,53.26,35.74,43.94
2015,2,12,47.52,24.61,36.73
2015,2,13,66.29,33.12,47.18
2015,2,14,76.77,31.57,53.46
2015,2,15,44.19,28.19,35.93
2015,2,16,34.7,20.6,26.43
2015,2,17,51.35,21,36.13
2015,2,18,43.53,22.48,33.22
2015,2,19,51.89,21.14,36.31
2015,2,20,48.45,36.47,43.73
2015,2,21,57.06,37.16,44.21
2015,2,22,42.56,22.07,30.28
2015,2,23,23.41,18.63,20.54
2015,2,24,42.42,20.01,29.06
2015,2,25,55.76,26.41,40.37
2015,2,26,36.83,20.58,26.32
2015,2,27,21.48,17.04,18.15
2015,2,28,26.39,17.62,22.34
